"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"323","Andre Drummond","Chi","C","29.6","55","12.9","20.9","22.4","100","0.54","227","0.626","2","0","0.62","0.619","6.1","6.6","0.6","0.7","0.3","1.2","12.8","6.7","13.3","9","115.7","93"
"324","Sam Hauser","Bos","F","25.3","68","15.6","14.6","6.9","17","0.706","51","0.647","271","0.417","0.629","0.633","6.1","2.5","0.7","0.3","0.3","0.4","8.6","6.9","9.3","5.6","122.9","107.1"
"325","Cory Joseph","Det","G","31.6","52","18.1","15.1","15.2","59","0.797","141","0.475","121","0.372","0.513","0.549","6.1","1.6","3.4","0.5","0.2","0.9","7.7","9.5","11","7.1","117","115"
"326","Jalen McDaniels","Phi","F-C","25.1","13","15.9","16","11","25","0.8","45","0.556","11","0.273","0.527","0.59","6.1","3.5","0.7","0.5","0","0.5","9.6","6.8","10.3","6.2","121.8","97.6"
"327","Patty Mills","Bro","G","34.6","38","13.6","19.8","11.9","23","0.913","70","0.486","123","0.382","0.541","0.566","6.1","1.1","1.4","0.4","0.1","0.7","7.2","7.4","8.5","6.2","109","115.6"
"328","Nicolas Batum","Lac","G-F","34.3","66","21.9","11.7","12.2","44","0.682","60","0.567","263","0.38","0.57","0.581","6","4.1","1.4","0.7","0.6","0.7","10.1","7.5","11.6","5.9","118.1","107.3"
"329","Jae Crowder","Mil","F","32.7","11","18.7","11.2","7.9","11","0.818","13","0.692","33","0.394","0.62","0.649","6","4.2","1.4","0.5","0.4","0.4","10.2","7.4","11.5","7","138.6","105.4"
"330","Drew Eubanks","Por","F-C","26.1","67","19.7","11.3","17.6","103","0.66","237","0.688","7","0.429","0.686","0.696","6","5.1","1.2","0.5","1.1","0.8","11.1","7.2","12.3","6.7","135.8","107.8"
"331","Maxi Kleber","Dal","F","31.1","28","25.4","10.1","12.1","24","0.583","47","0.681","83","0.361","0.592","0.598","6","3.7","1.2","0.3","0.9","0.6","9.7","7.2","10.9","4.7","119.2","110.9"
"332","Jordan Nwora","Mil","F","24.5","38","15.7","17.7","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","105.9","108.5"
"333","Ochai Agbaji","Uta","G","22.9","46","17.6","13.3","9.1","33","0.727","81","0.593","139","0.36","0.559","0.576","5.9","1.8","0.7","0.3","0.2","0.5","7.7","6.5","8.4","4.4","117.3","113.3"
